word,semantic_change,frequency,polysemy
lorgnettes,1.2026782372504727,184.0,0.741892370887309
longitude,1.1798942185105037,136.0,0.5283249285901146
pastorale,1.1662687643475584,196.0,0.6437094959531378
retombent,1.1659673750562929,128.0,0.7597464276585884
comparses,1.1570951085826908,100.0,0.6911127264408077
désappointée,1.15492397602966,154.0,0.6911518823469066
clan,1.1542572450759798,141.0,0.648864175363707
cachais,1.1525210339334948,125.0,0.4706604084639406
retards,1.1518205438163331,240.0,0.6259683985958214
environnée,1.1508581255382009,115.0,0.7712156347366249
endure,1.149953323085249,101.0,0.5313843857466338
découpures,1.1498859884088617,103.0,0.7238642160444779
complexe,1.149060473077267,218.0,0.7396271228289978
asphyxie,1.1480304992943215,211.0,0.7229289374289136
marmotte,1.1465386133098845,123.0,0.7069663632291784
tanagra,1.144930487189792,822.0,0.5246614466573938
languissait,1.1448230820660954,106.0,0.761421262469438
suggéré,1.1427120274302265,125.0,0.635071654415539
languissant,1.1403430818743745,114.0,0.722449357606778
éprouvèrent,1.138957969473304,104.0,0.5724921232028833
méprisée,1.1384019729647503,120.0,0.6222601619382014
flamboiement,1.1374244471264383,150.0,0.7143759853528264
hilarion,1.1344134938924464,376.0,0.6962243273002456
rosny,1.1338400602478331,418.0,0.6617351019896572
vertigineux,1.133701882859658,100.0,0.708046595173101
boris,1.1335188058584187,773.0,0.610712285706154
sébile,1.1319048680353283,100.0,0.7598739929512377
percy,1.1311506762272807,562.0,0.7169033644865849
protégeaient,1.1311037468774596,187.0,0.7625180136610727
amusais,1.1309802891817249,105.0,0.6201625544366672
extinction,1.1304885194781389,104.0,0.7454820987567402
guido,1.1276973197888822,266.0,0.6281528308237301
pardonnerais,1.1276085486031149,155.0,0.3314998349143837
éprendre,1.127517157943327,102.0,0.601991092867944
néva,1.126591644807485,109.0,0.7047988242559581
tiraillements,1.1263837107482717,115.0,0.7028993322051884
répétais,1.126095661782284,127.0,0.6105981385003084
flâneurs,1.125151838568376,132.0,0.7550546029585343
sanction,1.124920197547109,132.0,0.6756393081807721
dinah,1.1247331537882508,584.0,0.6487141411590043
caractérisait,1.1246501164365414,122.0,0.6741491476408437
harley,1.1244956869072624,164.0,0.5893335909125378
échelonnés,1.1240456143634463,104.0,0.7294919309597357
cuisinières,1.1237157280234875,102.0,0.7402255892811963
pi,1.123504322299946,100.0,0.7704067952777698
mental,1.1233975882932827,165.0,0.712330403956172
sceller,1.1233396212646989,110.0,0.7396798746993605
lignée,1.123229116277613,123.0,0.6731594478054115
profitent,1.1231768700653086,133.0,0.7356291872082388
dissipées,1.1225697460298365,107.0,0.633747841404736
sacrifiait,1.12213359677002,154.0,0.6868116284700789
châtiments,1.12201095651258,142.0,0.6971298859294974
wallace,1.1218044834593428,169.0,0.5854363800298115
felice,1.1217748288887277,529.0,0.4160933657221266
pensât,1.1205264473564094,144.0,0.670162824968077
montaigne,1.120447914440114,394.0,0.5145337473905672
vitement,1.120251523656162,235.0,0.7278988477900129
arrosait,1.119797688861139,133.0,0.7373888296067186
conventionnel,1.119744436629852,107.0,0.6846363948619218
découpaient,1.119060815687354,119.0,0.6575801604697951
guillotiner,1.118649957733551,222.0,0.5851017292556475
apporterai,1.118558214679679,192.5,0.6276916663687606
infligé,1.1181745970621804,153.0,0.6326014424248704
découpées,1.117980931059366,196.0,0.7174500522468559
troués,1.1179359951793448,112.0,0.6786055892250158
mourût,1.1178105824857885,122.0,0.7235640908562975
crétin,1.1177457950462204,128.0,0.7161694659522508
profaner,1.1177019320230923,111.0,0.7390706494058427
éventualités,1.1170301435225285,252.0,0.610760973650485
dissipe,1.1169820615847115,109.5,0.6607877149247791
esclavagistes,1.1165581523903347,122.0,0.4779383919783299
dumouriez,1.1163107380472548,170.0,0.6310446873516725
absous,1.1161895326641926,207.0,0.6620437800762329
perplexités,1.1160309150667356,201.0,0.6173210052877094
descendrait,1.1158998118691856,124.0,0.7157912259349944
balayait,1.1156701181960371,210.0,0.7098280940498404
ruissellement,1.1155779359766913,191.0,0.7066742798809325
vasseur,1.1152455871436733,228.0,0.668717285324858
châles,1.1151762007857955,144.5,0.6451131716160456
courtenay,1.1148333081983015,162.0,0.672351229754178
vitrines,1.1146477106858763,241.5,0.6782181155746817
enduré,1.1146380286606017,139.0,0.594237430812668
cuba,1.1144574507555896,142.0,0.7287643008320697
enchantait,1.1144527078759547,144.0,0.734886468998793
tachés,1.1141634878490532,117.0,0.6624946332779635
sellé,1.11359576699123,129.0,0.5295663266568736
persan,1.1129290982580144,113.0,0.7297394526685013
râpée,1.1129010466161298,204.0,0.7047324406833353
musical,1.1127207009850848,186.0,0.6954986490454564
maugréant,1.1126295032451474,182.5,0.5832898559228687
diffère,1.1122424554155923,104.0,0.7235158481505914
mouvait,1.1122085014402536,114.0,0.6572175379061449
kellermann,1.1119622073011055,160.0,0.5418684016589043
courbaient,1.1117890972286757,103.0,0.7223511198755216
vivras,1.1117489920296668,114.0,0.3481592358456074
explosions,1.1112929378413372,169.0,0.7112358486427357
emprisonnée,1.110925662132949,145.0,0.69872110983871
dirigeable,1.1109120149014269,179.0,0.6956942849804638
quaker,1.1108966204902944,116.0,0.6842907432935672
traditionnel,1.110818705016258,218.0,0.723511770336017
parviens,1.110513146579296,100.0,0.5806178105010653
bourdonnements,1.1100783672078882,138.5,0.680406666741765
quichotte,1.1098477671602995,155.5,0.6745935427780805
réal,1.1098164033973348,198.0,0.5202462757034562
redoutez,1.1097735524813257,136.0,0.63745344910129
parabère,1.1095675885389362,101.0,0.6447813445778173
méchamment,1.1092215047228615,213.0,0.7275286899779545
animosité,1.1090091442066905,132.0,0.607594200466894
renommés,1.1086222012997378,105.0,0.6806217252231708
brunot,1.1084076117272117,150.0,0.6177353583913308
complimenta,1.108210591414835,102.0,0.6761839115302328
comparée,1.1079928240573738,188.5,0.752621657327553
déciderait,1.1075290162894325,188.0,0.6819472603012653
chantée,1.107333976995069,147.5,0.5945098932926554
concentrait,1.1071079835333455,188.0,0.753304545891818
dégourdir,1.1068364270070954,116.0,0.7403269978438527
méricourt,1.1064746064012791,424.0,0.4135703594566965
ouvrirai,1.1064094086948182,102.0,0.6251251047389419
cotonnade,1.1061132732470975,158.0,0.5615583308273231
célérité,1.1056492491837104,137.0,0.6248331963851524
nuptial,1.1055831249641748,182.0,0.6993817304368735
léonce,1.1054371616755643,878.5,0.6624226437456233
contenterai,1.1052132164626234,114.0,0.5951908332555692
restreinte,1.1046568924202982,109.0,0.730806790647044
ambulances,1.104636697653527,107.0,0.7031394584746951
ramènerai,1.1040830583438737,112.0,0.5680241660896982
observée,1.103993708507364,192.0,0.7105999547172137
obsèques,1.1036365903265717,155.0,0.7171089984037793
mouvemens,1.103197968449401,200.0,0.803034318002115
planchette,1.1028685937284048,222.0,0.7143698659937218
nemours,1.102826805478356,131.0,0.6050037698720396
concessions,1.1027444367989214,366.3333333333333,0.732800130429113
intégrité,1.1026383813613294,145.0,0.7273167056217638
cinéma,1.1026375538619058,149.0,0.7248646063635762
offrirait,1.1025316056635093,128.0,0.7369874478884499
oune,1.102352017241781,198.0,0.3006766388164988
aveuglée,1.1022650886318883,143.0,0.7328028938348132
insondable,1.1022036772983956,192.0,0.6631575954003993
glaçon,1.1021008912730557,112.66666666666667,0.7185852648086284
largue,1.1020559717533192,126.0,0.4731783912797173
pérégrinations,1.1019437451412175,169.0,0.7159280920418714
cocu,1.1016739346172546,257.0,0.6331508606187295
vitalité,1.101642079156366,191.0,0.7134401297401154
exaspère,1.1013505192696014,129.0,0.7239831071034623
remboursement,1.101166186984802,106.0,0.6132051462464637
clandestinement,1.1008780401495195,104.0,0.7729977732925699
conspiré,1.1007692432526484,127.0,0.6749921277331994
servants,1.1006608136850704,106.0,0.7416007963244765
marbrier,1.1005325769011576,122.0,0.596204606212286
hochement,1.100496071156722,213.0,0.6303224760308486
tricotait,1.1001306636282293,142.0,0.6877957776878085
effervescence,1.1000964231014394,181.0,0.7124882911032439
savanes,1.100064806727873,396.0,0.689011593411019
obligeante,1.1000395808298924,144.0,0.6685089911181978
enivrements,1.1000346716186382,196.0,0.7152772755073584
durèrent,1.0999460336343063,143.0,0.672010706467669
bille,1.0993689346678792,145.0,0.7604924992396855
apitoyer,1.0991333481122736,139.0,0.658604763603947
réveillera,1.0990580525706497,100.0,0.7075032954668637
appelions,1.0990059757087995,122.0,0.6412725398942546
illuminaient,1.098946915595178,166.0,0.6577255412486556
colorer,1.0988512052630888,104.0,0.7469699168970598
amassées,1.0985961111507567,103.0,0.6982410901176361
peter,1.0985585994303126,196.0,0.7154597954708412
cabra,1.098252052673142,116.0,0.7028319075775251
faix,1.0981293813195256,109.0,0.689759259558205
acquiert,1.0980272609104431,112.0,0.7488734657663305
pores,1.0979435610648771,119.0,0.7346684661659028
rôdeur,1.0978852128197107,331.3333333333333,0.7377687144865986
chacal,1.0977336410924952,140.0,0.5801446981464381
ennuyez,1.0972550784276502,128.0,0.5637378875080159
cachèrent,1.0972542656385338,109.0,0.7555802261173278
bouddha,1.0972385280498753,162.0,0.7035429401684336
brisaient,1.0970358119707058,206.0,0.7386437643273089
accouder,1.0969495544759478,157.0,0.5753467819799272
vant,1.0969402411321834,106.0,0.7604469657940611
saccadés,1.0968619071268928,147.0,0.6428072157347543
détenue,1.096777515808983,184.0,0.6114509858048134
accordaient,1.0967253094168723,156.0,0.7605728785463288
mercédès,1.0966885226490808,1124.0,0.5891807867278733
balances,1.096666946683474,132.0,0.723353830234383
improviser,1.0965103496295865,140.0,0.74398546698859
strophe,1.096287420311387,149.0,0.5129371539573057
humainement,1.09598307248203,130.0,0.7187795750941843
désagrément,1.0959356988393054,174.5,0.7295613302620165
dédaignant,1.095630754937096,132.0,0.6841592676334562
permanence,1.0954404726154672,189.5,0.6722752356944033
chambord,1.0953071426776528,109.0,0.7228088480954543
tirades,1.0951693938272835,109.0,0.7043690552955286
apport,1.0951489147380824,144.0,0.487345835246786
denizet,1.0951365487256044,104.0,0.6331319152918529
enviable,1.0949507457128629,175.0,0.6812697109004784
amorti,1.0947672603683756,116.0,0.7408398733432409
agréé,1.0944783508252929,118.0,0.6842276003741772
désillusion,1.094362721741974,217.0,0.6427163298460974
reconnaissaient,1.0943052023771258,180.5,0.7053568335087892
causerait,1.0939565615710367,139.0,0.6301685211840589
mugissement,1.093927142640061,170.0,0.5833769599695469
éteignant,1.0937358960703156,137.66666666666666,0.6439278426360283
voletaient,1.0934625116079164,118.0,0.5886847553002346
pat,1.0934600893916435,186.0,0.6279960907841878
récrier,1.0933752467780606,137.0,0.6698666407634762
suffisantes,1.0932134585438051,212.0,0.705022068306122
versets,1.0931430839147334,161.0,0.6194426003541166
entrebâillement,1.0928720087514936,151.0,0.6295362377330804
luz,1.0927463023574326,330.0,0.5635512630899286
suspectes,1.0926815556678902,202.0,0.7479612757002052
brazier,1.092578358065167,150.0,0.6066698803326179
charnelle,1.0925489561238817,179.0,0.6410631286836349
carpes,1.092535041363104,117.0,0.7179562249278114
duprat,1.0921724124635064,164.0,0.7175409919103188
torchon,1.0921660272091245,224.0,0.6876256840318085
tabliers,1.0921053761031858,105.0,0.649632320449705
activer,1.092071582366588,140.0,0.7514642962704036
bourrienne,1.0917898559271402,185.0,0.6034397827888056
aérostat,1.0916264882201756,296.0,0.5285541018992906
marchai,1.0914971678334249,135.0,0.7123837683263823
préventive,1.091367034926083,100.0,0.6071263425186405
beuzeville,1.091329467226572,246.0,0.6765342865977055
désolés,1.0910217442597467,248.66666666666666,0.7079201048684954
glaives,1.090963832428759,189.0,0.6718226033584781
encadrant,1.0907479089444343,105.0,0.7603397982740142
tairai,1.0905504513798336,107.0,0.5495280764991132
strezzi,1.089736325837094,668.0,0.5614079636192468
mânes,1.0895873898367223,119.0,0.5394092542930683
surgissaient,1.0895585439820767,183.0,0.765067506537384
pincettes,1.0890651967209237,224.5,0.7343723094473209
vigie,1.0890516141332924,117.0,0.5095044670044043
vagabondage,1.0890480612204343,104.0,0.7486723467952074
goëlette,1.0890452975601137,132.0,0.6237880251466147
agrandi,1.0888556792847452,114.0,0.7349127045088057
affolées,1.0888512753574582,141.0,0.706941330777674
gouverné,1.088773860040901,136.0,0.7302910937251491
